ts,latitude,longitude
1728047565000000000,52.3509884,4.8815762
1728047566000000000,52.350991,4.8815793
1728047567000000000,52.3509935,4.8815815
1728047568000000000,52.3509954,4.8815922
1728047569000000000,52.3510014,4.8816067
1728047570000000000,52.3510089,4.8816213
1728047571000000000,52.3510203,4.8816348
1728047572000000000,52.3510328,4.8816492
1728047573000000000,52.3510526,4.8816683
1728047574000000000,52.351075,4.8816874
1728047575000000000,52.3511024,4.8817054
1728047576000000000,52.3511298,4.8817212
1728047577000000000,52.3511589,4.8817344
1728047578000000000,52.35119,4.8817496
1728047579000000000,52.3512216,4.8817677
1728047580000000000,52.3512546,4.8817859
1728047581000000000,52.3512869,4.8818024
1728047582000000000,52.3513185,4.8818174
1728047583000000000,52.3513516,4.8818328
1728047584000000000,52.3513851,4.8818482
1728047585000000000,52.3514188,4.8818621
1728047586000000000,52.3514507,4.8818786
1728047587000000000,52.3514821,4.8818965
1728047588000000000,52.3515122,4.8819136
1728047589000000000,52.3515431,4.8819267
1728047590000000000,52.3515732,4.881944
1728047591000000000,52.3516013,4.8819731
1728047592000000000,52.3516128,4.8820114
1728047593000000000,52.3516172,4.8820565
1728047594000000000,52.3516078,4.8820962
1728047595000000000,52.3516008,4.8821408
1728047596000000000,52.3515959,4.8821884
1728047597000000000,52.3515891,4.8822391
1728047598000000000,52.3515808,4.8822904
1728047599000000000,52.351571,4.8823433
1728047600000000000,52.3515646,4.8824001
1728047601000000000,52.3515576,4.8824563
1728047602000000000,52.3515499,4.8825123
1728047603000000000,52.3515404,4.8825685
1728047604000000000,52.3515315,4.8826239
1728047605000000000,52.3515213,4.8826778
1728047606000000000,52.3515084,4.8827294
1728047607000000000,52.3514959,4.882779
1728047608000000000,52.3514771,4.882824
1728047609000000000,52.3514674,4.8828749
1728047610000000000,52.3514573,4.8829301
1728047611000000000,52.3514447,4.8829889
1728047612000000000,52.3514306,4.8830469
1728047613000000000,52.3514188,4.8831067
1728047614000000000,52.3514082,4.8831698
1728047615000000000,52.3513991,4.8832317
1728047616000000000,52.351388,4.8832931
1728047617000000000,52.351377,4.8833548
1728047618000000000,52.3513659,4.8834154
1728047619000000000,52.3513544,4.8834749
1728047620000000000,52.3513441,4.8835349
1728047621000000000,52.3513311,4.8835948
1728047622000000000,52.351319,4.8836546
1728047623000000000,52.3513085,4.883712
1728047624000000000,52.3512998,4.8837706
1728047625000000000,52.3512894,4.8838309
1728047626000000000,52.3512762,4.8838902
1728047627000000000,52.3512646,4.8839498
1728047628000000000,52.3512453,4.8840076
1728047629000000000,52.351233,4.8840662
1728047630000000000,52.3512441,4.8841339
1728047631000000000,52.351238,4.8841873
1728047632000000000,52.3512348,4.8842357
1728047633000000000,52.3512261,4.8842858
1728047634000000000,52.3512196,4.8843401
1728047635000000000,52.3512111,4.884398
1728047636000000000,52.3512033,4.884451
1728047637000000000,52.3511975,4.8844985
1728047638000000000,52.3511989,4.8845395
1728047639000000000,52.3512134,4.8845715
1728047640000000000,52.3512368,4.8845916
1728047641000000000,52.3512638,4.8846054
1728047642000000000,52.351291,4.8846136
1728047643000000000,52.3513178,4.884627
1728047644000000000,52.3513465,4.8846462
1728047645000000000,52.3513752,4.8846676
1728047646000000000,52.3514027,4.8846841
1728047647000000000,52.3514321,4.884698
1728047648000000000,52.3514623,4.8847113
1728047649000000000,52.351491,4.8847265
1728047650000000000,52.3515195,4.8847431
1728047651000000000,52.3515442,4.8847528
1728047652000000000,52.3515693,4.8847493
1728047653000000000,52.3515881,4.8847334
1728047654000000000,52.351599,4.8846966
1728047655000000000,52.3516094,4.8846509
1728047656000000000,52.3516194,4.8846017
1728047657000000000,52.3516268,4.8845513
1728047658000000000,52.3516359,4.884501
1728047659000000000,52.3516457,4.8844506
1728047660000000000,52.3516533,4.8843993
1728047661000000000,52.3516629,4.8843475
1728047662000000000,52.3516717,4.8842953
1728047663000000000,52.3516811,4.8842425
1728047664000000000,52.3516941,4.8841904
1728047665000000000,52.351705,4.884137
1728047666000000000,52.3517164,4.8840842
1728047667000000000,52.3517413,4.8840332
1728047668000000000,52.3517549,4.8839818
1728047669000000000,52.3517701,4.8839337
1728047670000000000,52.3517813,4.883885
1728047671000000000,52.3517971,4.8838383
1728047672000000000,52.3518093,4.8837897
1728047673000000000,52.3518267,4.8837414
1728047674000000000,52.351838,4.8836903
1728047675000000000,52.3518503,4.8836463
1728047676000000000,52.3518647,4.8835977
1728047677000000000,52.3518746,4.8835479
1728047678000000000,52.3518847,4.8834978
1728047679000000000,52.3518976,4.8834467
1728047680000000000,52.3519119,4.8833933
1728047681000000000,52.3519204,4.8833338
1728047682000000000,52.3519266,4.8832764
1728047683000000000,52.351938,4.8832224
1728047684000000000,52.3519471,4.8831706
1728047685000000000,52.3519546,4.8831174
1728047686000000000,52.3519659,4.8830629
1728047687000000000,52.3519748,4.8830086
1728047688000000000,52.3519858,4.8829529
1728047689000000000,52.3520003,4.8828989
1728047690000000000,52.3520119,4.8828442
1728047691000000000,52.352026,4.8827907
1728047692000000000,52.3520379,4.8827378
1728047693000000000,52.3520466,4.8826855
1728047694000000000,52.3520567,4.8826387
1728047695000000000,52.3520657,4.8825894
1728047696000000000,52.3520655,4.8825322
1728047697000000000,52.3520689,4.8824794
1728047698000000000,52.3520771,4.8824276
1728047699000000000,52.3520853,4.8823769
1728047700000000000,52.3520957,4.8823289
1728047701000000000,52.3521113,4.8822848
1728047702000000000,52.3521258,4.8822417
1728047703000000000,52.352146,4.8822059
1728047704000000000,52.3521684,4.8821742
1728047705000000000,52.3521919,4.8821401
1728047706000000000,52.3522154,4.8821061
1728047707000000000,52.3522427,4.8820781
1728047708000000000,52.3522681,4.8820455
1728047709000000000,52.3522954,4.882016
1728047710000000000,52.3523231,4.8819886
1728047711000000000,52.3523513,4.8819613
1728047712000000000,52.3523774,4.881932
1728047713000000000,52.3524036,4.8819075
1728047714000000000,52.3524152,4.8818678
1728047715000000000,52.3524193,4.8818217
1728047716000000000,52.3524148,4.8817818
1728047717000000000,52.3523952,4.8817433
1728047718000000000,52.3523746,4.8816993
1728047719000000000,52.3523605,4.8816598
1728047720000000000,52.3523466,4.8816212
1728047721000000000,52.3523302,4.8815834
1728047722000000000,52.3523127,4.8815475
1728047723000000000,52.3522971,4.8815166
1728047724000000000,52.3522838,4.8814876
1728047725000000000,52.3522714,4.8814539
1728047726000000000,52.3522615,4.8814176
1728047727000000000,52.3522463,4.8813761
1728047728000000000,52.3522371,4.8813433
1728047729000000000,52.352233,4.8813101
1728047730000000000,52.3522206,4.8812682
1728047731000000000,52.3522111,4.881224
1728047732000000000,52.3521892,4.8811768
1728047733000000000,52.3521706,4.8811311
1728047734000000000,52.3521486,4.8810849
1728047735000000000,52.3521282,4.881039
1728047736000000000,52.3521057,4.8809933
1728047737000000000,52.3520809,4.880948
1728047738000000000,52.3520598,4.8809046
1728047739000000000,52.3520432,4.8808641
1728047740000000000,52.3520281,4.8808237
1728047741000000000,52.3520289,4.8807617
1728047742000000000,52.3520003,4.8807443
1728047743000000000,52.351969,4.8807605
1728047744000000000,52.3519423,4.8807913
1728047745000000000,52.3519157,4.8808251
1728047746000000000,52.3518855,4.88086
1728047747000000000,52.3518567,4.8808976
1728047748000000000,52.3518285,4.8809406
1728047749000000000,52.3518004,4.8809865
1728047750000000000,52.3517731,4.8810317
1728047751000000000,52.3517479,4.8810785
1728047752000000000,52.3517247,4.8811292
1728047753000000000,52.351702,4.8811826
1728047754000000000,52.3516833,4.8812379
1728047755000000000,52.3516668,4.881292
1728047756000000000,52.3516497,4.8813474
1728047757000000000,52.3516314,4.8814027
1728047758000000000,52.3516156,4.8814592
1728047759000000000,52.3515984,4.8815117
1728047760000000000,52.3515745,4.8815588
1728047761000000000,52.3515508,4.881605
1728047762000000000,52.3515266,4.8816473
1728047763000000000,52.3515023,4.8816887
1728047764000000000,52.3514816,4.8817281
1728047765000000000,52.3514591,4.8817586
1728047766000000000,52.3514338,4.8817777
1728047767000000000,52.351406,4.8817913
1728047768000000000,52.3513713,4.8817929
1728047769000000000,52.351337,4.881784
1728047770000000000,52.3513044,4.8817687
1728047771000000000,52.3512699,4.8817554
1728047772000000000,52.3512343,4.8817409
1728047773000000000,52.3511991,4.8817266
1728047774000000000,52.3511633,4.881715
1728047775000000000,52.3511285,4.8816986
1728047776000000000,52.3510955,4.8816807
1728047777000000000,52.3510613,4.8816647
1728047778000000000,52.351031,4.8816443
1728047779000000000,52.3510069,4.8816141
1728047780000000000,52.35099,4.8815746
1728047781000000000,52.350987,4.8815322
1728047782000000000,52.3509969,4.8814872
1728047783000000000,52.3510133,4.8814403
1728047784000000000,52.3510233,4.8813873
1728047785000000000,52.3510316,4.8813305
1728047786000000000,52.3510389,4.8812707
1728047787000000000,52.3510489,4.8812105
1728047788000000000,52.3510603,4.881151
1728047789000000000,52.3510718,4.8810912
1728047790000000000,52.3510834,4.8810319
1728047791000000000,52.3510945,4.8809717
1728047792000000000,52.3511044,4.8809114
1728047793000000000,52.3511128,4.8808505
1728047794000000000,52.3511229,4.8807912
1728047795000000000,52.3511326,4.8807366
1728047796000000000,52.3511448,4.8806816
1728047797000000000,52.3511573,4.8806248
1728047798000000000,52.3511689,4.8805677
1728047799000000000,52.3511802,4.8805099
1728047800000000000,52.3511899,4.8804499
1728047801000000000,52.3512007,4.8803888
1728047802000000000,52.351214,4.8803282
1728047803000000000,52.3512233,4.8802666
1728047804000000000,52.3512346,4.8802048
1728047805000000000,52.3512439,4.8801431
1728047806000000000,52.3512534,4.8800814
1728047807000000000,52.3512639,4.8800205
1728047808000000000,52.3512746,4.8799597
1728047809000000000,52.3512847,4.8799009
1728047810000000000,52.3512963,4.8798471
1728047811000000000,52.3513054,4.8797923
1728047812000000000,52.3513148,4.8797377
1728047813000000000,52.3513236,4.8796835
1728047814000000000,52.3513336,4.8796299
1728047815000000000,52.3513424,4.8795753
1728047816000000000,52.3513503,4.8795239
1728047817000000000,52.3513573,4.8794792
1728047818000000000,52.351362,4.8794398
1728047819000000000,52.3513629,4.8794051
1728047820000000000,52.3513557,4.8793744
1728047821000000000,52.3513423,4.8793481
1728047822000000000,52.3513243,4.8793271
1728047823000000000,52.3513077,4.8793025
1728047824000000000,52.3512883,4.8792768
1728047825000000000,52.3512588,4.8792549
1728047826000000000,52.3512268,4.8792382
1728047827000000000,52.351193,4.8792227
1728047828000000000,52.3511597,4.8792062
1728047829000000000,52.3511271,4.8791876
1728047830000000000,52.351097,4.879171
1728047831000000000,52.3510647,4.8791579
1728047832000000000,52.3510304,4.8791469
1728047833000000000,52.3509945,4.8791371
1728047834000000000,52.3509607,4.879123
1728047835000000000,52.3509265,4.8791048
1728047836000000000,52.3508918,4.879088
1728047837000000000,52.3508581,4.8790691
1728047838000000000,52.3508314,4.8790537
1728047868000000000,52.3508685,4.8780396
1728047869000000000,52.3508772,4.8779894
1728047870000000000,52.3508829,4.8779297
1728047871000000000,52.3508956,4.8778727
1728047872000000000,52.3509072,4.8778082
1728047873000000000,52.350915,4.8777464
1728047874000000000,52.3509247,4.8776864
1728047875000000000,52.3509269,4.8776259
1728047876000000000,52.350935,4.8775646
1728047877000000000,52.350939,4.8775048
1728047878000000000,52.3509446,4.8774434
1728047879000000000,52.3509493,4.8773811
1728047880000000000,52.3509565,4.8773293
1728047881000000000,52.3509567,4.877268
1728047882000000000,52.3509543,4.877214
1728047883000000000,52.3509558,4.8771638
1728047884000000000,52.3509513,4.8771077
1728047885000000000,52.3509432,4.8770568
1728047886000000000,52.3509421,4.8769984
1728047887000000000,52.3509369,4.8769386
1728047888000000000,52.3509386,4.8768768
1728047889000000000,52.3509421,4.8768156
1728047890000000000,52.3509438,4.8767544
1728047891000000000,52.3509461,4.8766917
1728047892000000000,52.3509449,4.8766424
1728047893000000000,52.3509441,4.8765904
1728047894000000000,52.3509448,4.8765403
1728047895000000000,52.3509357,4.8764834
1728047896000000000,52.3509134,4.876417
1728047897000000000,52.3508886,4.8763545
1728047898000000000,52.3508768,4.8763017
1728047899000000000,52.3508744,4.8762397
1728047900000000000,52.3508505,4.8762084
1728047901000000000,52.3508411,4.8761772
1728047902000000000,52.35084,4.8761389
1728047903000000000,52.3508392,4.8760886
1728047904000000000,52.3508354,4.8760356
1728047905000000000,52.3508413,4.8759794
1728047906000000000,52.3508433,4.8759214
1728047907000000000,52.350843,4.8758583
1728047908000000000,52.3508436,4.8758014
1728047909000000000,52.3508426,4.8757405
1728047910000000000,52.350847,4.8756857
1728047911000000000,52.3508466,4.8756253
1728047912000000000,52.3508465,4.8755614
1728047913000000000,52.3508513,4.8755001
1728047914000000000,52.3508525,4.8754408
1728047915000000000,52.350848,4.875383
1728047916000000000,52.3508545,4.8753337
1728047917000000000,52.3508558,4.8752747
1728047918000000000,52.3508563,4.8752105
1728047919000000000,52.3508566,4.8751494
1728047920000000000,52.3508578,4.8750878
1728047921000000000,52.3508595,4.8750221
1728047922000000000,52.3508588,4.8749583
1728047923000000000,52.3508574,4.8748923
1728047924000000000,52.3508536,4.8748275
1728047925000000000,52.3508458,4.8747629
1728047926000000000,52.3508412,4.8746983
1728047927000000000,52.3508393,4.8746339
